Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,AI_Impact_Score,Tasks_Automated_Pct
Business Analyst,Energy,Medium,Denver,Medium,Low,"Agile, Communication, Machine Learning",77259,Yes,Growth,28,25
Financial Analyst,Finance,Large,Austin,High,High,"Agile, Leadership, Tableau",68641,No,Decline,84,78
Supply Chain Manager,Healthcare,Large,San Francisco,High,Low,"Tableau, Data Analysis, Project Management, NLP, Agile",116746,Yes,Growth,20,15
Accountant,Healthcare,Medium,Remote,High,Medium,"Tableau, Marketing Strategy",79180,No,Growth,74,81
Financial Analyst,Technology,Small,Seattle,Medium,Low,"Machine Learning, Excel",84724,No,Growth,27,11
Product Manager,Energy,Small,Los Angeles,High,Low,"UX Research, Power BI, SQL",117676,Yes,Stable,17,25
Supply Chain Manager,Technology,Large,Chicago,High,High,"Communication, NLP, UX Research",84200,Yes,Stable,77,51
Supply Chain Manager,Education,Medium,Seattle,Medium,Low,"Agile, Java, Cloud Computing, Excel",102212,No,Growth,9,15
Marketing Analyst,Media & Entertainment,Medium,Remote,Low,Medium,"Power BI, Cloud Computing",74631,No,Growth,41,29
Business Analyst,Manufacturing,Large,Los Angeles,Low,High,"Agile, Power BI, Leadership, Cybersecurity",73542,No,Stable,95,91
HR Manager,Education,Medium,San Francisco,High,Medium,"DevOps, Machine Learning",79175,Yes,Decline,51,55
Cybersecurity Analyst,Technology,Large,Atlanta,High,High,"NLP, Machine Learning, Communication, Data Analysis, Tableau",59449,No,Stable,81,83
Healthcare Administrator,Healthcare,Medium,Denver,High,High,"Python, Deep Learning, Machine Learning, Cloud Computing",58623,No,Growth,80,80
Customer Service Rep,Healthcare,Large,San Francisco,High,Medium,"Python, NLP, Data Analysis",91862,Yes,Stable,54,42
UX Designer,Transportation,Medium,Seattle,Low,Medium,"NLP, Agile, Project Management, Excel",77410,Yes,Decline,45,32
Financial Analyst,Healthcare,Medium,San Francisco,High,Medium,"Financial Modeling, Agile, Cybersecurity",79305,Yes,Decline,56,48
Data Scientist,Manufacturing,Medium,Boston,High,Low,"DevOps, SQL",115308,No,Growth,16,10
Legal Advisor,Finance,Medium,Boston,Low,Low,"Java, Power BI, Project Management, NLP, DevOps",81694,Yes,Stable,34,38
Software Engineer,Transportation,Small,New York,Low,Medium,"Power BI, Leadership",90941,No,Growth,49,50
DevOps Engineer,Media & Entertainment,Small,Austin,Medium,High,"Power BI, SQL",61581,No,Decline,96,97
Marketing Analyst,Finance,Small,Chicago,Low,Medium,"Communication, Marketing Strategy",60015,No,Stable,57,56
Software Engineer,Education,Large,Denver,High,Medium,"Communication, SQL",93021,Yes,Decline,43,48
Financial Analyst,Media & Entertainment,Large,Remote,Low,High,"Project Management, SQL, Power BI, Agile",45491,Yes,Decline,97,93
Sales Manager,Media & Entertainment,Medium,Atlanta,Low,Medium,"Java, Cybersecurity",67701,No,Decline,48,42
Cybersecurity Analyst,Government,Small,Chicago,Medium,High,"Deep Learning, Machine Learning, NLP",49487,No,Decline,89,84
Supply Chain Manager,Manufacturing,Large,Seattle,Medium,Low,"Tableau, SQL",107525,Yes,Growth,30,30
Data Scientist,Technology,Medium,Chicago,Medium,Medium,"Power BI, Excel",62935,Yes,Growth,65,49
Marketing Analyst,Finance,Large,Los Angeles,High,High,"Cybersecurity, Marketing Strategy, Python, Leadership, SQL",78961,Yes,Decline,74,69
Data Scientist,Transportation,Medium,New York,Medium,Medium,"Cybersecurity, Communication",64196,No,Stable,55,36
Logistics Coordinator,Energy,Small,Seattle,High,Medium,"Deep Learning, SQL, Python",84247,No,Growth,70,56
Marketing Analyst,Government,Large,Boston,Medium,Low,"Agile, Excel, SQL, Deep Learning",110909,No,Stable,28,16
Cybersecurity Analyst,Education,Large,Los Angeles,Medium,High,"UX Research, Python, Communication",59463,Yes,Growth,96,83
Supply Chain Manager,Education,Large,Atlanta,Medium,Medium,"Financial Modeling, Cybersecurity, Power BI",74114,Yes,Decline,65,57
Sales Manager,Manufacturing,Small,Austin,Low,Low,"Marketing Strategy, Tableau, Cybersecurity, NLP",106533,No,Stable,38,27
Graphic Designer,Education,Medium,San Francisco,Medium,Medium,"Leadership, Tableau, Python",77394,Yes,Stable,59,53
Legal Advisor,Media & Entertainment,Small,Seattle,High,Medium,"Marketing Strategy, Tableau, Financial Modeling",96273,Yes,Growth,44,35
Healthcare Administrator,Government,Medium,San Francisco,Low,Medium,"Power BI, Deep Learning, Agile",85357,Yes,Growth,51,47
Marketing Analyst,Energy,Large,New York,Medium,High,"Tableau, Communication, Leadership",60769,No,Stable,76,71
Product Manager,Education,Small,Seattle,Low,Medium,"Cybersecurity, Project Management, Tableau",70821,Yes,Growth,57,53
DevOps Engineer,Manufacturing,Small,Boston,High,High,"Java, SQL, DevOps, Communication, Agile",74908,Yes,Stable,81,75
UX Designer,Education,Small,Denver,Low,Medium,"Agile, UX Research",75360,Yes,Stable,39,22
Supply Chain Manager,Energy,Small,Boston,Low,High,"Python, SQL",51649,No,Growth,98,87
Supply Chain Manager,Technology,Small,Denver,High,Medium,"Agile, UX Research, Cloud Computing, Java, Cybersecurity",78869,Yes,Growth,52,32
UX Designer,Retail,Large,Remote,Medium,Medium,"Communication, Data Analysis, Marketing Strategy, DevOps",92622,No,Stable,59,53
Logistics Coordinator,Energy,Medium,Austin,High,High,"Deep Learning, Cloud Computing",65786,Yes,Growth,80,74
UX Designer,Government,Medium,Denver,Medium,High,"Financial Modeling, NLP, Machine Learning, Communication",64569,Yes,Growth,81,65
Content Writer,Finance,Medium,Atlanta,Medium,High,"NLP, Machine Learning, Financial Modeling, Java, Agile",83787,No,Stable,74,68
Accountant,Technology,Small,Seattle,High,High,"Project Management, Excel",82541,Yes,Decline,87,82
Cybersecurity Analyst,Healthcare,Medium,Los Angeles,Medium,High,"Project Management, Marketing Strategy, Leadership",76349,No,Growth,90,89
Product Manager,Government,Large,Seattle,Medium,Medium,"Communication, Deep Learning, Machine Learning, Tableau, Excel",93655,No,Growth,62,59
Financial Analyst,Media & Entertainment,Small,Chicago,Medium,Medium,"DevOps, Data Analysis, UX Research",82897,No,Stable,60,53
Sales Manager,Education,Large,Denver,High,Medium,"Excel, SQL, DevOps",104777,No,Stable,41,30
Accountant,Government,Large,Denver,High,Medium,"Data Analysis, Deep Learning, Power BI, Java, Agile",90357,Yes,Stable,45,52
HR Manager,Manufacturing,Medium,Los Angeles,Medium,High,"Excel, Agile, Machine Learning",78734,No,Decline,89,81
Business Analyst,Retail,Large,Seattle,Medium,High,"Data Analysis, Power BI, SQL, DevOps",64854,No,Decline,72,57
Cybersecurity Analyst,Education,Small,Atlanta,High,Medium,"Java, Python, Machine Learning, UX Research",82461,Yes,Growth,53,59
Cybersecurity Analyst,Energy,Small,Remote,Medium,Low,"Tableau, Cloud Computing",108708,Yes,Stable,18,0
Legal Advisor,Government,Large,Remote,Medium,Low,"SQL, Excel, Tableau, Leadership, Java",107740,Yes,Stable,17,7
Sales Manager,Energy,Medium,Remote,Medium,Low,"SQL, Cloud Computing, Financial Modeling, Data Analysis",129912,Yes,Stable,11,17
Supply Chain Manager,Manufacturing,Small,Austin,Medium,Low,"Python, Project Management, Marketing Strategy",109438,No,Stable,6,7
Logistics Coordinator,Transportation,Small,New York,Medium,Medium,"Data Analysis, Agile",72469,No,Growth,55,42
Logistics Coordinator,Energy,Large,Atlanta,High,High,"DevOps, Machine Learning, Cloud Computing, Power BI",57166,No,Stable,66,48
UX Designer,Media & Entertainment,Large,Boston,High,Medium,"Data Analysis, Cloud Computing, Communication, Power BI, UX Research",102077,Yes,Growth,61,58
HR Manager,Energy,Small,Boston,High,Low,"Cybersecurity, Power BI, Financial Modeling, DevOps, SQL",105178,Yes,Stable,7,3
Graphic Designer,Healthcare,Large,Chicago,High,Medium,"Cloud Computing, Agile",108682,Yes,Decline,48,47
Product Manager,Healthcare,Large,Los Angeles,High,Medium,"Financial Modeling, Marketing Strategy, SQL",70447,No,Stable,35,19
Accountant,Energy,Large,Seattle,Medium,High,"UX Research, Marketing Strategy",45278,Yes,Decline,85,78
HR Manager,Energy,Medium,San Francisco,Medium,Medium,"Project Management, Python",85645,No,Stable,46,47
Graphic Designer,Technology,Small,Seattle,Medium,High,"SQL, DevOps, Leadership, Communication",71221,Yes,Decline,82,71
Customer Service Rep,Finance,Large,Los Angeles,High,Medium,"Project Management, Power BI, Cybersecurity",79645,Yes,Growth,47,28
Machine Learning Engineer,Retail,Medium,Denver,Medium,Low,"Agile, Cloud Computing, UX Research",91276,No,Decline,22,13
DevOps Engineer,Technology,Large,Los Angeles,Medium,High,"NLP, Java, Project Management, Cybersecurity",64764,Yes,Decline,91,93
Customer Service Rep,Energy,Medium,Los Angeles,Low,Medium,"Leadership, Data Analysis, Excel, Deep Learning",80044,No,Stable,36,34
Graphic Designer,Finance,Small,Austin,Low,Low,"Machine Learning, NLP",80412,No,Decline,20,27
Product Manager,Government,Large,Atlanta,High,Low,"Leadership, Communication, Java",85084,No,Growth,22,19
DevOps Engineer,Energy,Medium,Remote,Medium,Medium,"Deep Learning, Communication, UX Research, NLP",78813,Yes,Decline,50,39
Accountant,Energy,Medium,Los Angeles,Medium,Medium,"Machine Learning, NLP, Cybersecurity, Project Management, Java",94783,No,Stable,43,30
Cybersecurity Analyst,Finance,Large,Austin,Low,Medium,"Deep Learning, UX Research",78381,No,Decline,41,35
Business Analyst,Technology,Medium,New York,Medium,Medium,"Data Analysis, Power BI, Tableau",112874,Yes,Decline,51,46
Machine Learning Engineer,Manufacturing,Small,Chicago,High,Low,"Deep Learning, Power BI, Marketing Strategy, Python, SQL",109737,No,Growth,41,38
Supply Chain Manager,Manufacturing,Small,San Francisco,Medium,Medium,"Data Analysis, Java, Machine Learning, SQL",64655,No,Decline,50,56
Marketing Analyst,Education,Small,New York,Low,Low,"Python, Marketing Strategy, Communication, Java",83226,No,Stable,14,14
Marketing Analyst,Retail,Large,Seattle,High,Medium,"SQL, Data Analysis, Python, Tableau, Financial Modeling",92707,Yes,Stable,44,27
Financial Analyst,Government,Small,Atlanta,Medium,Low,"Project Management, Marketing Strategy",73156,Yes,Stable,28,25
UX Designer,Technology,Medium,Chicago,Medium,Medium,"Tableau, Excel, Java, Data Analysis",89480,No,Stable,65,63
Sales Manager,Transportation,Medium,Los Angeles,High,Medium,"Java, SQL, Tableau, Financial Modeling, Excel",102765,No,Stable,68,47
Product Manager,Media & Entertainment,Small,Los Angeles,Medium,Low,"Java, Data Analysis, Financial Modeling, SQL, NLP",95107,Yes,Stable,38,43
Cybersecurity Analyst,Finance,Large,Chicago,Medium,High,"Machine Learning, Data Analysis, Leadership",48062,No,Decline,82,90
Content Writer,Government,Small,Denver,Medium,Medium,"Cloud Computing, Java, Financial Modeling",89302,Yes,Stable,48,34
Financial Analyst,Manufacturing,Large,Chicago,Medium,Medium,"UX Research, SQL",67590,No,Stable,65,58
UX Designer,Energy,Small,San Francisco,Medium,Medium,"Cloud Computing, Project Management",106865,No,Growth,46,50
DevOps Engineer,Manufacturing,Small,Remote,High,High,"DevOps, Financial Modeling, Tableau, NLP",67051,Yes,Decline,83,67
Customer Service Rep,Energy,Medium,Boston,High,High,"Marketing Strategy, Python, Machine Learning",62972,Yes,Growth,72,68
Accountant,Transportation,Medium,Denver,Medium,Medium,"Tableau, Agile",81106,Yes,Stable,53,46
Data Scientist,Education,Small,New York,Medium,Low,"Java, Power BI, SQL",104789,No,Stable,33,33
Product Manager,Media & Entertainment,Small,Boston,High,Low,"Tableau, Excel, Communication, Cybersecurity",97175,Yes,Growth,2,0
Logistics Coordinator,Retail,Medium,Los Angeles,High,High,"Machine Learning, Excel, Leadership",33653,Yes,Stable,80,72
Logistics Coordinator,Finance,Small,Denver,Medium,Medium,"NLP, SQL, Cybersecurity, Machine Learning, Tableau",74704,No,Decline,60,61
Healthcare Administrator,Healthcare,Medium,Remote,High,Low,"Machine Learning, Tableau",127204,Yes,Growth,39,34
Machine Learning Engineer,Healthcare,Small,San Francisco,Medium,Low,"Leadership, Marketing Strategy, Machine Learning",90296,No,Stable,18,18
Financial Analyst,Government,Medium,Seattle,Low,Medium,"UX Research, Financial Modeling",71348,Yes,Growth,58,52
Financial Analyst,Media & Entertainment,Small,Remote,High,High,"UX Research, Java, Cybersecurity, Power BI, Marketing Strategy",52890,Yes,Decline,61,56
Product Manager,Media & Entertainment,Small,Seattle,Low,Low,"Leadership, Data Analysis, Machine Learning, Cloud Computing, Python",99512,Yes,Stable,11,0
Data Scientist,Government,Large,Chicago,High,Low,"Java, Tableau, Cybersecurity",91348,No,Growth,25,14
Business Analyst,Energy,Small,Atlanta,Medium,High,"Java, NLP",50571,No,Decline,79,77
Machine Learning Engineer,Government,Large,San Francisco,Low,High,"SQL, Agile",67038,Yes,Decline,71,68
HR Manager,Retail,Medium,Remote,Medium,Medium,"Data Analysis, Financial Modeling, Machine Learning, Python",86487,No,Stable,51,46
Supply Chain Manager,Technology,Large,Boston,Medium,High,"Financial Modeling, Python, Java, DevOps, Agile",60612,No,Growth,100,85
Content Writer,Healthcare,Medium,Austin,High,High,"Excel, SQL",75859,Yes,Growth,92,91
Accountant,Healthcare,Small,New York,Medium,High,"Communication, Leadership",60373,Yes,Stable,72,68
Accountant,Energy,Medium,Seattle,Low,Low,"Data Analysis, NLP, Leadership, Agile, Marketing Strategy",91787,Yes,Growth,40,32
Business Analyst,Government,Large,Los Angeles,High,Low,"Deep Learning, Project Management, Python, Java",115413,Yes,Stable,12,0
HR Manager,Finance,Large,Denver,High,Low,"Cybersecurity, Communication",102126,Yes,Stable,32,23
Content Writer,Education,Large,San Francisco,Medium,Low,"Leadership, Excel",98435,No,Growth,37,32
Supply Chain Manager,Finance,Large,Los Angeles,High,Low,"Agile, Deep Learning, Cloud Computing, Java, Power BI",99679,Yes,Growth,28,3
Customer Service Rep,Healthcare,Small,San Francisco,High,Medium,"Project Management, Data Analysis, Financial Modeling",87951,Yes,Stable,85,74
Graphic Designer,Manufacturing,Small,Boston,Low,Low,"SQL, Java",107540,No,Growth,13,20
UX Designer,Manufacturing,Small,Chicago,Medium,Low,"Cloud Computing, SQL, UX Research, Tableau",94348,No,Growth,19,16
Marketing Analyst,Energy,Large,Los Angeles,Medium,Medium,"Project Management, Tableau, Python, UX Research",66225,Yes,Stable,50,60
Cybersecurity Analyst,Transportation,Small,San Francisco,Low,Medium,"Marketing Strategy, SQL, Communication, Python, Power BI",48763,Yes,Growth,43,52
Machine Learning Engineer,Energy,Large,Seattle,Medium,High,"Data Analysis, DevOps, Project Management",44107,No,Decline,76,68
Graphic Designer,Energy,Large,Atlanta,Low,Low,"Tableau, SQL",110371,No,Growth,25,16
Sales Manager,Transportation,Medium,New York,Medium,Medium,"DevOps, Marketing Strategy",98565,No,Stable,54,35
Product Manager,Education,Medium,San Francisco,Medium,Low,"Java, DevOps, Deep Learning, NLP",98021,Yes,Stable,32,15
Logistics Coordinator,Transportation,Small,Remote,High,Medium,"SQL, UX Research, Python, Deep Learning",82735,Yes,Stable,74,75
Marketing Analyst,Finance,Large,New York,Medium,Medium,"Cybersecurity, UX Research",83997,No,Stable,44,42
HR Manager,Technology,Medium,Austin,High,High,"NLP, Power BI, Marketing Strategy",48869,Yes,Stable,74,70
Graphic Designer,Education,Large,Los Angeles,Low,Medium,"Excel, Marketing Strategy, Cloud Computing, Machine Learning, Tableau",86834,Yes,Growth,72,74
UX Designer,Technology,Medium,Los Angeles,High,High,"SQL, Agile, Excel, Financial Modeling, Data Analysis",69671,No,Stable,69,67
Accountant,Retail,Large,Chicago,Medium,Low,"Tableau, Power BI, Financial Modeling",88362,No,Growth,19,2
Healthcare Administrator,Energy,Small,Denver,High,High,"Agile, Excel",73994,No,Decline,78,83
Graphic Designer,Education,Medium,Seattle,Low,High,"Tableau, Leadership, Deep Learning, Communication",53084,No,Decline,78,73
Financial Analyst,Retail,Medium,Boston,Medium,Low,"Communication, Leadership, Deep Learning",117177,No,Stable,28,15
Data Scientist,Manufacturing,Large,Chicago,High,Low,"Machine Learning, Power BI, Cloud Computing, UX Research",108268,Yes,Growth,37,33
Marketing Analyst,Finance,Medium,Seattle,Medium,High,"SQL, Cloud Computing",81372,Yes,Stable,67,67
Content Writer,Retail,Small,Austin,Medium,Medium,"DevOps, SQL, Tableau, Power BI",81417,Yes,Decline,53,61
Sales Manager,Government,Medium,New York,Medium,High,"UX Research, Java, Agile",64351,No,Decline,88,84
Customer Service Rep,Finance,Medium,Seattle,High,High,"Tableau, Machine Learning, Project Management",83019,Yes,Decline,82,74
Software Engineer,Manufacturing,Large,Seattle,Medium,High,"Marketing Strategy, Java",63963,Yes,Decline,79,78
Product Manager,Finance,Small,Boston,Medium,Low,"Agile, Marketing Strategy",86317,No,Stable,18,8
Marketing Analyst,Manufacturing,Small,Atlanta,High,Medium,"Python, Power BI, Cybersecurity, Data Analysis, Communication",71728,Yes,Stable,48,34
Software Engineer,Education,Large,Los Angeles,Low,Low,"Cybersecurity, DevOps, Data Analysis, Cloud Computing, NLP",98758,No,Growth,33,27
Legal Advisor,Education,Large,Atlanta,Medium,Low,"Cybersecurity, Python, Power BI, Financial Modeling",97165,No,Stable,16,11
Data Scientist,Media & Entertainment,Medium,New York,Low,Low,"Data Analysis, Leadership, DevOps, Java, Power BI",101803,Yes,Growth,0,0
Accountant,Retail,Small,Denver,High,Medium,"Financial Modeling, Tableau, Marketing Strategy",94586,Yes,Stable,48,37
Cybersecurity Analyst,Manufacturing,Large,Seattle,High,Medium,"Cybersecurity, Communication",77884,Yes,Stable,53,50
DevOps Engineer,Retail,Small,Chicago,Medium,Medium,"UX Research, Cloud Computing",74121,No,Stable,59,51
Business Analyst,Energy,Medium,San Francisco,High,High,"Data Analysis, Financial Modeling, Excel, UX Research",78313,Yes,Stable,81,54
Content Writer,Finance,Large,Seattle,Medium,Medium,"Cloud Computing, Financial Modeling, Machine Learning",76141,Yes,Decline,77,54
Sales Manager,Technology,Small,Atlanta,Low,High,"DevOps, Cybersecurity, Communication, Machine Learning",64759,No,Decline,82,83
Healthcare Administrator,Finance,Small,Austin,Medium,Medium,"Communication, Marketing Strategy",86063,Yes,Stable,63,50
Product Manager,Education,Medium,Los Angeles,Medium,Low,"Tableau, Machine Learning, Power BI, DevOps",119276,No,Stable,27,0
Logistics Coordinator,Healthcare,Medium,Boston,Medium,Medium,"Financial Modeling, DevOps, Agile",64328,No,Growth,58,53
Graphic Designer,Finance,Medium,Denver,High,Low,"Python, Cloud Computing",111951,Yes,Stable,36,23
Software Engineer,Energy,Large,San Francisco,High,Medium,"Data Analysis, Cloud Computing, Marketing Strategy, Excel",85303,Yes,Growth,48,38
Accountant,Education,Medium,Denver,High,Low,"Deep Learning, Marketing Strategy, Data Analysis, Leadership, Tableau",104522,Yes,Stable,18,24
Healthcare Administrator,Education,Large,New York,High,Medium,"Power BI, Communication, Leadership, Tableau",100406,Yes,Growth,47,25
HR Manager,Technology,Large,Austin,Low,Low,"NLP, Java, Python",82966,Yes,Stable,31,20
UX Designer,Transportation,Small,San Francisco,High,Medium,"Agile, UX Research, Excel",82183,Yes,Stable,39,38
Healthcare Administrator,Media & Entertainment,Medium,San Francisco,Medium,Medium,"Deep Learning, Excel, Python",69206,No,Decline,41,26
Supply Chain Manager,Healthcare,Small,Remote,Medium,Medium,"NLP, Data Analysis, Marketing Strategy",66812,No,Growth,51,47
Cybersecurity Analyst,Energy,Medium,Denver,Low,Medium,"Project Management, Deep Learning",57393,No,Decline,61,66
Logistics Coordinator,Retail,Large,Austin,High,Medium,"UX Research, Project Management, Marketing Strategy, Leadership, Excel",87195,No,Stable,60,57
Legal Advisor,Manufacturing,Small,Los Angeles,High,Low,"Data Analysis, Machine Learning",104383,No,Stable,26,10
Financial Analyst,Government,Small,Atlanta,Low,High,"Agile, Cybersecurity, Leadership, Financial Modeling, Machine Learning",67679,No,Stable,63,63
Product Manager,Education,Small,San Francisco,Medium,Low,"Java, Excel",90917,No,Growth,24,25
Cybersecurity Analyst,Manufacturing,Medium,Remote,High,Low,"NLP, Agile, Data Analysis, Financial Modeling",129780,Yes,Stable,27,18
Cybersecurity Analyst,Technology,Large,Seattle,Medium,High,"Machine Learning, Java, Power BI, Excel, Project Management",56009,Yes,Stable,81,80
Logistics Coordinator,Energy,Medium,Atlanta,Low,Medium,"DevOps, Marketing Strategy, Project Management",97806,No,Decline,63,45
Content Writer,Media & Entertainment,Large,Denver,Low,High,"Financial Modeling, Cybersecurity, UX Research",67929,No,Decline,77,66
Sales Manager,Education,Small,Los Angeles,Low,High,"Excel, Marketing Strategy, Communication",45216,Yes,Decline,79,76
Legal Advisor,Healthcare,Small,New York,High,Medium,"Tableau, Excel, Project Management",95600,Yes,Growth,28,22
Sales Manager,Healthcare,Medium,San Francisco,Medium,Low,"Marketing Strategy, Leadership",115024,Yes,Stable,17,0
Accountant,Retail,Small,Remote,Medium,Medium,"Deep Learning, Machine Learning",58301,No,Growth,44,38
Business Analyst,Energy,Small,Denver,Low,Low,"Cloud Computing, UX Research",95374,No,Growth,25,11
Customer Service Rep,Manufacturing,Large,New York,Low,Medium,"DevOps, Financial Modeling",79297,No,Stable,50,44
Marketing Analyst,Government,Medium,Chicago,High,Medium,"Java, Cloud Computing, Project Management",85839,Yes,Decline,52,52
Data Scientist,Finance,Small,New York,Medium,Low,"NLP, Financial Modeling, Communication, Java",124364,No,Stable,35,48
Supply Chain Manager,Education,Small,Seattle,Medium,Medium,"SQL, Communication",78373,Yes,Decline,52,51
Content Writer,Manufacturing,Large,Seattle,Medium,Low,"NLP, Project Management, Machine Learning",119757,No,Growth,26,9
Legal Advisor,Transportation,Medium,Seattle,Low,High,"Tableau, Python",71478,Yes,Decline,80,64
Sales Manager,Manufacturing,Medium,Seattle,Low,Medium,"Python, Communication, Project Management, UX Research, Excel",68024,Yes,Growth,70,58
DevOps Engineer,Energy,Large,Atlanta,Medium,High,"Excel, Cybersecurity, UX Research, NLP, Financial Modeling",76251,No,Decline,65,72
Customer Service Rep,Finance,Medium,Denver,Medium,Medium,"Financial Modeling, Deep Learning, Agile",66806,No,Growth,45,56
Supply Chain Manager,Healthcare,Small,Denver,Medium,High,"Marketing Strategy, Deep Learning, Python, Project Management",51971,Yes,Stable,86,80
Graphic Designer,Healthcare,Medium,Los Angeles,Medium,Low,"SQL, Agile, Financial Modeling",103931,No,Stable,18,11
Product Manager,Finance,Medium,Chicago,Medium,Medium,"Java, Project Management, Deep Learning, Machine Learning, Excel",77180,No,Stable,50,49
DevOps Engineer,Energy,Small,Austin,High,Medium,"Marketing Strategy, Communication, Machine Learning, DevOps, Deep Learning",92218,Yes,Growth,52,49
Sales Manager,Government,Large,Los Angeles,Medium,Medium,"NLP, DevOps, Agile, Machine Learning",72487,No,Decline,48,49
Logistics Coordinator,Technology,Medium,Atlanta,Low,High,"Project Management, DevOps, Marketing Strategy, Communication",52233,Yes,Stable,94,95
Content Writer,Transportation,Large,Remote,Low,High,"NLP, Project Management",61278,Yes,Decline,78,60
UX Designer,Technology,Medium,Seattle,Medium,Medium,"Financial Modeling, Marketing Strategy, Data Analysis, Communication",93300,No,Decline,50,60
Product Manager,Manufacturing,Small,Denver,High,Low,"DevOps, UX Research",109552,Yes,Stable,29,16
Accountant,Retail,Medium,San Francisco,Medium,Medium,"Financial Modeling, NLP",71116,Yes,Growth,46,48
Marketing Analyst,Transportation,Medium,New York,Medium,Medium,"Cloud Computing, Data Analysis, Python",96211,Yes,Growth,54,57
Financial Analyst,Finance,Large,Atlanta,High,Low,"Java, Power BI, SQL, Python",113336,Yes,Growth,16,15
Machine Learning Engineer,Education,Small,New York,Low,Low,"SQL, Financial Modeling, Project Management, UX Research",108229,Yes,Stable,27,22
Sales Manager,Transportation,Medium,New York,Low,High,"SQL, Data Analysis, Cloud Computing, Marketing Strategy, Cybersecurity",72208,No,Decline,79,80
Healthcare Administrator,Manufacturing,Large,Chicago,High,Low,"Communication, DevOps, Agile, Tableau, Marketing Strategy",106651,No,Stable,42,43
Graphic Designer,Healthcare,Small,New York,Low,Medium,"Excel, Cybersecurity, Data Analysis, Python",85768,No,Growth,67,56
DevOps Engineer,Education,Medium,Denver,Low,High,"Financial Modeling, Marketing Strategy, Leadership",51831,Yes,Decline,73,61
HR Manager,Technology,Large,Chicago,Medium,Low,"NLP, Agile, Leadership",107019,No,Stable,11,6
Accountant,Healthcare,Medium,Seattle,Low,High,"Leadership, Marketing Strategy, Python",61065,No,Stable,63,62
Logistics Coordinator,Finance,Small,Seattle,Low,Medium,"Project Management, UX Research, Excel, Communication, Cybersecurity",60605,No,Growth,77,59
Graphic Designer,Finance,Large,Denver,Medium,Low,"Agile, Python",92928,No,Stable,11,11
Product Manager,Technology,Large,San Francisco,Medium,High,"Project Management, DevOps, Deep Learning, UX Research",59591,No,Decline,72,71
UX Designer,Retail,Medium,Seattle,High,Medium,"Python, Financial Modeling, Deep Learning",83066,Yes,Stable,69,66
UX Designer,Retail,Large,New York,High,Medium,"Financial Modeling, UX Research, Project Management, Java",80362,Yes,Stable,61,51
Cybersecurity Analyst,Transportation,Small,San Francisco,High,Medium,"Cybersecurity, Data Analysis, Financial Modeling",76553,Yes,Stable,49,50
Data Scientist,Transportation,Small,Denver,Medium,Medium,"Cybersecurity, Project Management, Java, Financial Modeling, SQL",70777,No,Decline,42,38
Marketing Analyst,Media & Entertainment,Large,New York,Medium,Low,"Data Analysis, Project Management, Power BI",81507,Yes,Stable,33,20
Cybersecurity Analyst,Manufacturing,Small,Chicago,High,High,"Project Management, Leadership, Machine Learning, Python",63075,No,Decline,86,80
UX Designer,Energy,Medium,Los Angeles,Medium,High,"Data Analysis, Cybersecurity, Power BI, Agile, Leadership",66776,No,Stable,97,99
Customer Service Rep,Energy,Medium,San Francisco,Medium,Low,"Tableau, Project Management",106726,Yes,Growth,29,19
Product Manager,Energy,Large,New York,Low,High,"Tableau, SQL, Python",39112,Yes,Stable,81,82
Sales Manager,Energy,Large,Remote,Low,Medium,"Data Analysis, Tableau, Leadership, Java, SQL",74008,No,Growth,44,34
Business Analyst,Media & Entertainment,Small,Austin,High,High,"NLP, Java",65789,No,Decline,83,76
Graphic Designer,Finance,Large,Los Angeles,Low,High,"Java, Communication",71106,No,Growth,77,72
Supply Chain Manager,Energy,Medium,Boston,Low,High,"Java, DevOps",72410,No,Decline,80,78
Sales Manager,Manufacturing,Small,Los Angeles,Medium,Low,"Excel, UX Research, NLP",94181,Yes,Growth,31,41
Content Writer,Transportation,Medium,Atlanta,High,High,"DevOps, Excel, Python, UX Research",36800,Yes,Decline,86,94
Business Analyst,Energy,Medium,Remote,High,Low,"DevOps, Power BI, Tableau, Cloud Computing, Financial Modeling",85884,No,Growth,5,0
Marketing Analyst,Transportation,Medium,Los Angeles,Medium,Medium,"Marketing Strategy, Cybersecurity, Deep Learning, Excel, NLP",83434,No,Growth,58,53
Content Writer,Energy,Small,Boston,Medium,High,"Excel, Java, Data Analysis",64594,No,Decline,71,58
Accountant,Media & Entertainment,Small,Seattle,Low,Medium,"Deep Learning, Financial Modeling, Java",96735,No,Growth,57,48
Supply Chain Manager,Healthcare,Large,New York,Medium,Medium,"Leadership, Data Analysis, Communication, Marketing Strategy",87186,No,Stable,47,48
Business Analyst,Finance,Large,Los Angeles,High,Low,"Cybersecurity, Cloud Computing, UX Research, NLP, Marketing Strategy",104905,Yes,Growth,26,22
Machine Learning Engineer,Transportation,Medium,Denver,Medium,High,"Project Management, Marketing Strategy, Deep Learning, Leadership",34109,Yes,Decline,86,66
Product Manager,Transportation,Small,New York,Medium,Medium,"Python, Java, Excel, Cloud Computing",86248,No,Growth,58,61
